IP,Time,Browser
10.82.178.14,17/Nov/2022:12:12:33,Firefox
10.82.178.14,17/Nov/2022:12:12:41,Firefox
10.82.178.14,17/Nov/2022:12:12:43,Firefox
10.82.178.14,17/Nov/2022:12:13:35,Firefox
10.82.178.14,17/Nov/2022:12:13:39,Firefox
10.82.178.14,17/Nov/2022:12:14:01,Firefox
10.82.178.14,17/Nov/2022:12:14:18,Firefox
10.82.181.109,17/Nov/2022:13:52:56,Edg
10.82.181.109,17/Nov/2022:23:23:21,Edg
10.82.190.168,17/Nov/2022:23:26:02,Safari
